============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
      pipe_gen[4].u_pipe_exp_gen[2].u_exp             bf16_exp_34                                               1249     2994.774    1180.457      4175.232 
      pipe_gen[5].u_pipe_exp_gen[0].u_exp             bf16_exp_40                                               1260     2984.095    1181.904      4165.999 
      pipe_gen[5].u_pipe_exp_gen[3].u_exp             bf16_exp_43                                               1222     2993.877    1161.366      4155.242 
      pipe_gen[4].u_pipe_exp_gen[1].u_exp             bf16_exp_33                                               1223     2987.703    1159.803      4147.506 
      pipe_gen[4].u_pipe_exp_gen[7].u_exp             bf16_exp_39                                               1251     2960.583    1179.859      4140.441 
      pipe_gen[5].u_pipe_exp_gen[1].u_exp             bf16_exp_41                                               1236     2970.501    1169.182      4139.683 
      pipe_gen[0].u_pipe_exp_gen[5].u_exp             bf16_exp_5                                                1210     2969.962    1143.156      4113.118 
      pipe_gen[0].u_pipe_exp_gen[7].u_exp             bf16_exp_7                                                1216     2953.076    1151.155      4104.231 
      pipe_gen[5].u_pipe_exp_gen[6].u_exp             bf16_exp_46                                               1224     2931.410    1160.451      4091.861 
      pipe_gen[3].u_pipe_exp_gen[7].u_exp             bf16_exp_31                                               1199     2938.319    1146.133      4084.451 
      pipe_gen[5].u_pipe_exp_gen[2].u_exp             bf16_exp_42                                               1228     2927.033    1156.094      4083.127 
      pipe_gen[0].u_pipe_exp_gen[1].u_exp             bf16_exp_1                                                1186     2945.227    1133.278      4078.505 
      pipe_gen[0].u_pipe_exp_gen[2].u_exp             bf16_exp_2                                                1212     2915.251    1151.088      4066.339 
